control_id,framework_code,framework_version,regulator,regulator_name_en,regulator_name_ar,domain_code,domain_name_en,domain_name_ar,subdomain_code,subdomain_name_en,subdomain_name_ar,control_number,title_en,title_ar,requirement_en,requirement_ar,control_type,priority,maturity_level,is_mandatory,official_url
59,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-15,Web Application Security,أمن تطبيقات الويب,2-15-1,Web Application Firewall,جدار حماية تطبيقات الويب,WAF must protect public-facing web applications.,WAF لحماية تطبيقات الويب العامة.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
60,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,2,Cybersecurity Defense,تعزيزات الأمن السيبراني,2-15,Web Application Security,أمن تطبيقات الويب,2-15-2,Secure SDLC,التطوير الآمن,Secure SDLC including code review and security testing.,SDLC الآمن مع مراجعة الكود واختبار الأمان.,preventive,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
61,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,3,Cybersecurity Resilience,صمود الأمن السيبراني,3-1,Cybersecurity Resilience in BCM,الصمود السيبراني في BCM,3-1-1,BCM Cybersecurity,متطلبات BCM,Cybersecurity resilience must be embedded in BCM.,تضمين الصمود السيبراني في إدارة استمرارية الأعمال.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
62,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,3,Cybersecurity Resilience,صمود الأمن السيبراني,3-1,Cybersecurity Resilience in BCM,الصمود السيبراني في BCM,3-1-2,DR Plan Annual Testing,اختبار خطة التعافي,DR plans must be tested annually.,اختبار خطط التعافي سنوياً.,corrective,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
63,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,3,Cybersecurity Resilience,صمود الأمن السيبراني,3-1,Cybersecurity Resilience in BCM,الصمود السيبراني في BCM,3-1-3,Cyber Resilience Testing,اختبار الصمود,Cyber resilience scenarios must be tested annually.,اختبار سيناريوهات الصمود السيبراني سنوياً.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
64,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,3,Cybersecurity Resilience,صمود الأمن السيبراني,3-1,Cybersecurity Resilience in BCM,الصمود السيبراني في BCM,3-1-4,DR Site for Critical Systems,موقع التعافي,Disaster recovery site must be established for critical systems.,موقع التعافي للأنظمة الحرجة.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
65,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-1,Third-Party Cybersecurity,الأمن السيبراني للأطراف الخارجية,4-1-1,Third-Party Risk Assessment,تقييم مخاطر الأطراف الخارجية,Cybersecurity risk assessment must be conducted before engaging third parties.,تقييم مخاطر الأمن السيبراني قبل التعاقد.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
66,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-1,Third-Party Cybersecurity,الأمن السيبراني للأطراف الخارجية,4-1-2,Third-Party Contracts,عقود الأطراف الخارجية,Cybersecurity requirements must be embedded in contracts.,تضمين متطلبات الأمن السيبراني في العقود.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
67,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-1,Third-Party Cybersecurity,الأمن السيبراني للأطراف الخارجية,4-1-3,Third-Party Monitoring,مراقبة الأطراف الخارجية,Third-party cybersecurity must be monitored.,مراقبة الأمن السيبراني للأطراف الخارجية.,detective,high,4,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
68,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-1,Third-Party Cybersecurity,الأمن السيبراني للأطراف الخارجية,4-1-4,Third-Party Incidents,حوادث الأطراف الخارجية,Third-party incidents must be reported and managed.,الإبلاغ عن حوادث الأطراف الخارجية.,corrective,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
69,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-2,Cloud Computing and Hosting,الحوسبة السحابية,4-2-1,Cloud Cybersecurity per CCC,الأمن السحابي وفق CCC,Cloud cybersecurity must align with NCA Cloud Cybersecurity Controls (CCC).,الأمن السحابي يتوافق مع NCA CCC.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
70,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-2,Cloud Computing and Hosting,الحوسبة السحابية,4-2-2,Data Localization (NDMO),توطين البيانات,Sensitive data must be hosted in Saudi Arabia per NDMO requirements.,استضافة البيانات الحساسة في المملكة وفقاً لـ NDMO.,preventive,critical,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
71,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-2,Cloud Computing and Hosting,الحوسبة السحابية,4-2-3,Cloud Provider Assessment,تقييم مزود السحابة,Cloud provider must be assessed against NCA CCC.,تقييم مزود السحابة وفق NCA CCC.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
72,NCA-ECC,2-2024,NCA,National Cybersecurity Authority,الهيئة الوطنية للأمن السيبراني,4,Third-Party and Cloud Cybersecurity,الأمن السيبراني للأطراف الخارجية والحوسبة السحابية,4-2,Cloud Computing and Hosting,الحوسبة السحابية,4-2-4,Cloud Exit Strategy,استراتيجية الخروج,Cloud exit strategy must be defined and tested.,استراتيجية الخروج معتمدة ومختبرة.,preventive,high,3,True,https://nca.gov.sa/en/regulatory-documents/controls-list/ecc/
